# HaMachberet word list.
#
# One word per line, pipe separated:
#   n. | hebrew with nikud | transliteration | english | pos[.gender] | themes | extra
#
# pos:     noun verb adj phrase connector grammar number other
# gender:  .m .f .pl .mf   (nouns and numbers only; a noun must have one)
# themes:  comma separated, from the list in tools/build-vocab.py
# extra:   key=value pairs joined by ;   known keys: root, binyan, pl
#
# Hebrew is written in full spelling with nikud, so that taking the points
# off leaves exactly what a learner types: שׁוּלְחָן, not שֻׁלְחָן.
# Adjectives are masculine / feminine. Verbs are the infinitive.
#
# Build with:  python3 tools/build-vocab.py

# ---------------------------------------------------------------- greetings
1. | שָׁלוֹם | shalom | hello, goodbye, peace | noun.m | greetings,general |
2. | תּוֹדָה | toda | thank you | noun.f | greetings |
3. | תּוֹדָה רַבָּה | toda raba | thank you very much | phrase | greetings |
4. | בְּבַקָּשָׁה | bevakasha | please; here you are; you're welcome | phrase | greetings |
5. | סְלִיחָה | slikha | excuse me, sorry | noun.f | greetings |
6. | בֹּקֶר טוֹב | boker tov | good morning | phrase | greetings |
7. | צָהֳרַיִים טוֹבִים | tzohorayim tovim | good afternoon | phrase | greetings |
8. | עֶרֶב טוֹב | erev tov | good evening | phrase | greetings |
9. | לַיְלָה טוֹב | layla tov | good night | phrase | greetings |
10. | לְהִתְרָאוֹת | lehitraot | see you, goodbye | phrase | greetings |
11. | מַה שְׁלוֹמְךָ | ma shlomkha | how are you (to a man) | phrase | greetings |
12. | מַה שְׁלוֹמֵךְ | ma shlomekh | how are you (to a woman) | phrase | greetings |
13. | מַה נִשְׁמָע | ma nishma | how is it going (literally: what is heard) | phrase | greetings |
14. | בְּסֵדֶר | beseder | okay, fine | phrase | greetings,general |
15. | הַכֹּל בְּסֵדֶר | hakol beseder | everything is fine | phrase | greetings |
16. | נָעִים מְאוֹד | na'im me'od | pleased to meet you | phrase | greetings |
17. | בָּרוּךְ הַבָּא / בְּרוּכָה הַבָּאָה | barukh haba / brukha haba'a | welcome | phrase | greetings |
18. | מַזָּל טוֹב | mazal tov | congratulations | phrase | greetings,israel |
19. | בְּתֵיאָבוֹן | bete'avon | enjoy your meal | phrase | greetings,food |
20. | שַׁבָּת שָׁלוֹם | shabat shalom | good sabbath (said from Thursday on) | phrase | greetings,israel,religion |
21. | אֵיךְ קוֹרְאִים לְךָ | eikh kor'im lekha | what is your name (to a man) | phrase | greetings |
22. | קוֹרְאִים לִי | kor'im li | my name is (literally: they call me) | phrase | greetings |
23. | נָא לְהַכִּיר | na lehakir | let me introduce you | phrase | greetings |
24. | כָּל טוּב | kol tuv | all the best | phrase | greetings |
25. | אֵין בְּעָד מָה | ein be'ad ma | you are welcome (after thanks) | phrase | greetings |

# ---------------------------------------------------------------- the smallest words
26. | כֵּן | ken | yes | grammar | grammar,general |
27. | לֹא | lo | no, not | grammar | grammar,general |
28. | אוּלַי | ulay | maybe | grammar | grammar,general |
29. | גַּם | gam | also, too | grammar | grammar,connectors |
30. | רַק | rak | only | grammar | grammar,connectors |
31. | מְאוֹד | me'od | very | grammar | grammar,general |
32. | קְצָת | ktzat | a little | grammar | grammar,general |
33. | הַרְבֵּה | harbe | a lot, many | grammar | grammar,general |
34. | כָּל | kol | every, all | grammar | grammar,general |
35. | הַכֹּל | hakol | everything | grammar | grammar,general |
36. | שׁוּם דָּבָר | shum davar | nothing | phrase | grammar,general |
37. | אַף אֶחָד | af ekhad | nobody | phrase | grammar,people |
38. | כְּבָר | kvar | already | grammar | grammar,time |
39. | עֲדַיִין | adayin | still, yet | grammar | grammar,time |
40. | עוֹד | od | more, still, another | grammar | grammar,general |
41. | שׁוּב | shuv | again | grammar | grammar,time |
42. | תָּמִיד | tamid | always | grammar | grammar,time |
43. | אַף פַּעַם | af pa'am | never | phrase | grammar,time |
44. | לִפְעָמִים | lif'amim | sometimes | grammar | grammar,time |
45. | בְּדֶרֶךְ כְּלָל | bederekh klal | usually | phrase | grammar,time |
46. | בְּעֶצֶם | be'etzem | actually, in fact | phrase | grammar,connectors |
47. | בְּוַדַּאי | bevadai | certainly, of course | phrase | grammar |
48. | בְּדִיּוּק | bediyuk | exactly | grammar | grammar |
49. | כִּמְעַט | kim'at | almost | grammar | grammar |
50. | מַסְפִּיק | maspik | enough | grammar | grammar |

# ---------------------------------------------------------------- pronouns and question words
51. | אֲנִי | ani | I | grammar | grammar |
52. | אַתָּה | ata | you (masculine singular) | grammar | grammar |
53. | אַתְּ | at | you (feminine singular) | grammar | grammar |
54. | הוּא | hu | he, it | grammar | grammar |
55. | הִיא | hi | she, it | grammar | grammar |
56. | אֲנַחְנוּ | anakhnu | we | grammar | grammar |
57. | אַתֶּם | atem | you (masculine plural) | grammar | grammar |
58. | אַתֶּן | aten | you (feminine plural) | grammar | grammar |
59. | הֵם | hem | they (masculine) | grammar | grammar |
60. | הֵן | hen | they (feminine) | grammar | grammar |
61. | מָה | ma | what | grammar | grammar |
62. | מִי | mi | who | grammar | grammar |
63. | אֵיפֹה | eifo | where | grammar | grammar |
64. | מָתַי | matai | when | grammar | grammar,time |
65. | לָמָּה | lama | why | grammar | grammar |
66. | מַדּוּעַ | madua | why (formal) | grammar | grammar |
67. | אֵיךְ | eikh | how | grammar | grammar |
68. | כַּמָּה | kama | how much, how many | grammar | grammar,numbers |
69. | אֵיזֶה / אֵיזוֹ | eize / eizo | which, what a | grammar | grammar |
70. | הַאִם | ha'im | (marks a yes/no question) | grammar | grammar |
71. | זֶה | ze | this (masculine) | grammar | grammar |
72. | זֹאת | zot | this (feminine) | grammar | grammar |
73. | אֵלֶּה | ele | these | grammar | grammar |
74. | לְאָן | le'an | where to | grammar | grammar |
75. | מֵאַיִן | me'ayin | where from | grammar | grammar |

# ---------------------------------------------------------------- school and the classroom
76. | סֵפֶר | sefer | book | noun.m | school | pl=סְפָרִים
77. | מַחְבֶּרֶת | makhberet | notebook | noun.f | school | pl=מַחְבָּרוֹת
78. | עֵט | et | pen | noun.m | school |
79. | עִפָּרוֹן | iparon | pencil | noun.m | school | pl=עֶפְרוֹנוֹת
80. | דַּף | daf | sheet, page | noun.m | school | pl=דַּפִּים
81. | מִילָּה | mila | word | noun.f | school | pl=מִילִּים
82. | מִשְׁפָּט | mishpat | sentence | noun.m | school |
83. | שְׁאֵלָה | she'ela | question | noun.f | school |
84. | תְּשׁוּבָה | tshuva | answer | noun.f | school |
85. | שִׁעוּר | shi'ur | lesson | noun.m | school |
86. | כִּיתָּה | kita | class, classroom | noun.f | school |
87. | תַּרְגִּיל | targil | exercise | noun.m | school |
88. | מִבְחָן | mivkhan | test, exam | noun.m | school |
89. | תַּלְמִיד / תַּלְמִידָה | talmid / talmida | pupil, student | noun.m | school,people |
90. | סְטוּדֶנְט / סְטוּדֶנְטִית | student / studentit | university student | noun.m | school,people |
91. | מוֹרֶה / מוֹרָה | more / mora | teacher | noun.m | school,people,work |
92. | בֵּית סֵפֶר | beit sefer | school | noun.m | school,city |
93. | אוּנִיבֶרְסִיטָה | universita | university | noun.f | school,city |
94. | לִלְמוֹד | lilmod | to learn, to study | verb | school | root=ל-מ-ד;binyan=paal
95. | לְלַמֵּד | lelamed | to teach | verb | school | root=ל-מ-ד;binyan=piel
96. | לִכְתּוֹב | likhtov | to write | verb | school | root=כ-ת-ב;binyan=paal
